VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth,Pass/Fail,Percentage
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,5E-06,1.5E-05,27,Pass,51.28,30800000,58.48,6.01E-05,-71.69,46.38,393000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,5E-06,1.5E-05,125,Fail,50.13,32000000,56.25,7.58E-05,-71.2,45.5,343000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1E-05,5E-06,27,Fail,51.34,32000000,73.16,5.32E-05,-85.43,42.88,500000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1E-05,5E-06,125,Fail,50.41,33100000,69.61,6.79E-05,-86.27,41.36,422000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1E-05,1E-05,27,Fail,51.72,31200000,62.12,5.32E-05,-76,41.78,456000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1E-05,1E-05,125,Fail,50.63,32500000,59.45,6.79E-05,-76.25,40.66,390000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1E-05,1.5E-05,27,Fail,51.87,30400000,59.4,5.32E-05,-73.42,40.35,424000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1E-05,1.5E-05,125,Fail,50.69,31800000,56.84,6.8E-05,-73.42,39.65,366000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1.5E-05,5E-06,27,Fail,51.57,31700000,73.47,5.06E-05,-86.28,37.61,517000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1.5E-05,5E-06,125,Fail,50.64,32800000,69.73,6.49E-05,-87.68,36.42,436000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1.5E-05,1E-05,27,Fail,51.95,31400000,62.45,5.06E-05,-77.03,36.87,472000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1.5E-05,1E-05,125,Fail,50.87,32100000,59.56,6.49E-05,-77.74,35.95,403000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1.5E-05,1.5E-05,27,Fail,52.11,30300000,59.74,5.06E-05,-74.48,35.82,439000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,1.5E-05,1.5E-05,125,Fail,50.93,31900000,56.97,6.5E-05,-74.91,35.32,378000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,5E-06,5E-06,27,Pass,50.76,25500000,72.33,6.01E-05,-83.88,79.14,182000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,5E-06,5E-06,125,Fail,49.86,26200000,69.06,7.59E-05,-84.08,75.15,155000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,5E-06,1E-05,27,Pass,51.13,25300000,61.23,6.01E-05,-74.31,79.48,171000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,5E-06,1E-05,125,Fail,50.07,25900000,58.89,7.59E-05,-74.01,75.28,148000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,5E-06,1.5E-05,27,Pass,51.28,25000000,58.48,6.01E-05,-71.69,78.24,165000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,5E-06,1.5E-05,125,Fail,50.13,25500000,56.25,7.59E-05,-71.2,74.18,143000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1E-05,5E-06,27,Pass,51.34,25400000,73.16,5.32E-05,-85.43,75.65,197000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1E-05,5E-06,125,Pass,50.41,25800000,69.61,6.81E-05,-86.27,71.6,167000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1E-05,1E-05,27,Pass,51.72,25100000,62.12,5.32E-05,-76,75.95,186000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1E-05,1E-05,125,Pass,50.63,25600000,59.45,6.81E-05,-76.25,71.76,159000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1E-05,1.5E-05,27,Fail,51.87,24800000,59.4,5.32E-05,-73.42,74.58,178000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1E-05,1.5E-05,125,Pass,50.69,25300000,56.84,6.81E-05,-73.42,70.61,154000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1.5E-05,5E-06,27,Pass,51.57,25200000,73.47,5.07E-05,-86.28,72.62,205000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1.5E-05,5E-06,125,Pass,50.64,25700000,69.73,6.51E-05,-87.68,68.73,173000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1.5E-05,1E-05,27,Fail,51.95,24900000,62.45,5.07E-05,-77.03,72.95,192000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1.5E-05,1E-05,125,Pass,50.87,25400000,59.56,6.51E-05,-77.74,68.93,164000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1.5E-05,1.5E-05,27,Fail,52.11,24600000,59.74,5.07E-05,-74.48,71.58,185000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,2.5E-05,1.5E-05,1.5E-05,125,Pass,50.93,25100000,56.97,6.51E-05,-74.91,67.81,159000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,5E-06,5E-06,27,Fail,50.76,23100000,72.33,6.02E-05,-83.88,87.37,128000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,5E-06,5E-06,125,Fail,49.86,23000000,69.06,7.6E-05,-84.08,82.53,109000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,5E-06,1E-05,27,Fail,51.13,22800000,61.23,6.01E-05,-74.31,88.25,121000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,5E-06,1E-05,125,Fail,50.07,22900000,58.89,7.59E-05,-74.02,83.09,105000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,5E-06,1.5E-05,27,Fail,51.28,22300000,58.48,6.01E-05,-71.69,87.51,117000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,5E-06,1.5E-05,125,Fail,50.12,22500000,56.25,7.59E-05,-71.2,82.41,102000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1E-05,5E-06,27,Fail,51.34,22900000,73.16,5.33E-05,-85.43,85.45,139000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1E-05,5E-06,125,Fail,50.41,23200000,69.61,6.82E-05,-86.27,80.31,118000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1E-05,1E-05,27,Fail,51.72,22600000,62.12,5.32E-05,-76,86.41,132000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1E-05,1E-05,125,Fail,50.63,22700000,59.45,6.81E-05,-76.25,80.95,113000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1E-05,1.5E-05,27,Fail,51.87,22300000,59.4,5.32E-05,-73.42,85.55,127000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1E-05,1.5E-05,125,Fail,50.69,22300000,56.84,6.82E-05,-73.42,80.2,110000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1.5E-05,5E-06,27,Fail,51.57,22800000,73.47,5.07E-05,-86.28,83.52,144000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1.5E-05,5E-06,125,Fail,50.64,23000000,69.73,6.52E-05,-87.68,78.39,122000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1.5E-05,1E-05,27,Fail,51.95,22600000,62.45,5.07E-05,-77.03,84.49,137000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1.5E-05,1E-05,125,Fail,50.87,22600000,59.56,6.51E-05,-77.74,79.08,117000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1.5E-05,1.5E-05,27,Fail,52.11,22200000,59.74,5.07E-05,-74.48,83.63,132000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3E-05,1.5E-05,1.5E-05,125,Fail,50.93,22200000,56.97,6.52E-05,-74.91,78.32,114000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,5E-06,5E-06,27,Fail,50.76,18400000,72.33,6.02E-05,-83.88,92.88,95000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,5E-06,5E-06,125,Fail,49.86,18200000,69.06,7.6E-05,-84.08,87.45,80800,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,5E-06,1E-05,27,Fail,51.13,18500000,61.23,6.01E-05,-74.31,94.07,90200,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,5E-06,1E-05,125,Fail,50.07,18000000,58.89,7.58E-05,-74.02,88.26,77900,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,5E-06,1.5E-05,27,Fail,51.28,18000000,58.48,6E-05,-71.69,93.68,87600,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,5E-06,1.5E-05,125,Fail,50.12,17600000,56.25,7.58E-05,-71.2,87.87,76300,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1E-05,5E-06,27,Fail,51.34,18700000,73.16,5.33E-05,-85.43,92.18,103000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1E-05,5E-06,125,Fail,50.41,18800000,69.61,6.83E-05,-86.27,86.2,87100,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1E-05,1E-05,27,Fail,51.72,18300000,62.12,5.32E-05,-76,93.49,97900,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1E-05,1E-05,125,Fail,50.63,17800000,59.45,6.81E-05,-76.25,87.11,83900,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1E-05,1.5E-05,27,Fail,51.87,18000000,59.4,5.32E-05,-73.42,93.04,95000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1E-05,1.5E-05,125,Fail,50.69,18000000,56.84,6.82E-05,-73.42,86.68,82100,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1.5E-05,5E-06,27,Fail,51.57,18600000,73.47,5.08E-05,-86.28,91.01,107000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1.5E-05,5E-06,125,Fail,50.64,18600000,69.73,6.53E-05,-87.68,84.95,90200,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1.5E-05,1E-05,27,Fail,51.95,18400000,62.45,5.07E-05,-77.03,92.37,102000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1.5E-05,1E-05,125,Fail,50.86,18400000,59.56,6.52E-05,-77.74,85.92,86900,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1.5E-05,1.5E-05,27,Fail,52.1,18100000,59.74,5.07E-05,-74.48,91.89,98600,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,3.5E-05,1.5E-05,1.5E-05,125,Fail,50.93,17500000,56.97,6.52E-05,-74.91,85.47,85000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,5E-06,5E-06,27,Pass,50.76,32400000,72.33,6.01E-05,-83.88,45.1,464000,1,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,5E-06,5E-06,125,Fail,49.86,33600000,69.06,7.58E-05,-84,44.33,395000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,5E-06,1E-05,27,Fail,51.13,31700000,61.23,6.01E-05,-74.31,44.5,423000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,5E-06,1E-05,125,Fail,50.07,32800000,58.89,7.58E-05,-74.02,43.88,365000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,5E-06,1.5E-05,27,Fail,51.28,30800000,58.48,6.01E-05,-71.69,43.18,393000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,5E-06,1.5E-05,125,Fail,50.13,32100000,56.25,7.59E-05,-71.2,42.87,343000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1E-05,5E-06,27,Fail,51.34,32000000,73.16,5.32E-05,-85.43,38.32,500000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1E-05,5E-06,125,Fail,50.41,33100000,69.61,6.79E-05,-86.27,37.53,423000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1E-05,1E-05,27,Fail,51.72,31400000,62.12,5.32E-05,-76,38.11,456000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1E-05,1E-05,125,Fail,50.63,32400000,59.45,6.79E-05,-76.25,37.55,391000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1E-05,1.5E-05,27,Fail,51.87,30500000,59.4,5.32E-05,-73.42,37.26,424000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1E-05,1.5E-05,125,Fail,50.69,31700000,56.84,6.8E-05,-73.42,37.04,366000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1.5E-05,5E-06,27,Fail,51.57,31900000,73.47,5.06E-05,-86.28,33.26,518000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1.5E-05,5E-06,125,Fail,50.64,32800000,69.73,6.49E-05,-87.68,32.56,436000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1.5E-05,1E-05,27,Fail,51.95,30900000,62.45,5.06E-05,-77.03,33.37,472000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1.5E-05,1E-05,125,Fail,50.87,32100000,59.56,6.49E-05,-77.74,32.94,403000,0,
2,5E-06,2.8E-07,2.8E-07,1E-05,1.5E-05,1.5E-05,1.5E-05,27,Fail,52.11,30200000,59.74,5.06E-05,-74.48,32.88,439000,0,
