VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,5.00E-06,1.50E-05,125,fail,50.13,3.20E+07,56.25,7.58E-05,-71.2,45.5,3.43E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.00E-05,5.00E-06,27,fail,51.34,3.20E+07,73.16,5.32E-05,-85.43,42.88,5.00E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.00E-05,5.00E-06,125,fail,50.41,3.31E+07,69.61,6.79E-05,-86.27,41.36,4.22E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.00E-05,1.00E-05,27,fail,51.72,3.12E+07,62.12,5.32E-05,-76,41.78,4.56E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.00E-05,1.00E-05,125,fail,50.63,3.25E+07,59.45,6.79E-05,-76.25,40.66,3.90E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.00E-05,1.50E-05,27,fail,51.87,3.04E+07,59.4,5.32E-05,-73.42,40.35,4.24E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.00E-05,1.50E-05,125,fail,50.69,3.18E+07,56.84,6.80E-05,-73.42,39.65,3.66E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.50E-05,5.00E-06,27,fail,51.57,3.17E+07,73.47,5.06E-05,-86.28,37.61,5.17E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.50E-05,5.00E-06,125,fail,50.64,3.28E+07,69.73,6.49E-05,-87.68,36.42,4.36E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.50E-05,1.00E-05,27,fail,51.95,3.14E+07,62.45,5.06E-05,-77.03,36.87,4.72E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.50E-05,1.00E-05,125,fail,50.87,3.21E+07,59.56,6.49E-05,-77.74,35.95,4.03E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.50E-05,1.50E-05,27,fail,52.11,3.03E+07,59.74,5.06E-05,-74.48,35.82,4.39E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,1.50E-05,1.50E-05,125,fail,50.93,3.19E+07,56.97,6.50E-05,-74.91,35.32,3.78E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,5.00E-06,5.00E-06,27,fail,50.76,2.55E+07,72.33,6.01E-05,-83.88,79.14,1.82E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,5.00E-06,5.00E-06,125,fail,49.86,2.62E+07,69.06,7.59E-05,-84.08,75.15,1.55E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,5.00E-06,1.00E-05,27,fail,51.13,2.53E+07,61.23,6.01E-05,-74.31,79.48,1.71E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,5.00E-06,1.00E-05,125,fail,50.07,2.59E+07,58.89,7.59E-05,-74.01,75.28,1.48E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,5.00E-06,1.50E-05,27,fail,51.28,2.50E+07,58.48,6.01E-05,-71.69,78.24,1.65E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,5.00E-06,1.50E-05,125,fail,50.13,2.55E+07,56.25,7.59E-05,-71.2,74.18,1.43E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.00E-05,5.00E-06,27,fail,51.34,2.54E+07,73.16,5.32E-05,-85.43,75.65,1.97E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.00E-05,5.00E-06,125,fail,50.41,2.58E+07,69.61,6.81E-05,-86.27,71.6,1.67E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.00E-05,1.00E-05,27,fail,51.72,2.51E+07,62.12,5.32E-05,-76,75.95,1.86E+05
