Temp (0C),Sw.Freq.,MN,MP,M_DRVRN,M_DRVRP,RL(Ohms),No. Phases,Pass/Fail,Eff1(%),HSLoss(W),LSLoss(W),Pin(W),Pout(W),VDD(W),Closs(W),Lloss(W),,,,
27,1.00E+08,62,167,13,33,1,8,pass,86.54,4.63E-02,1.70E-02,1.365,1.188,8.21E-03,5.91E-06,3.82E-02,,,,
27,1.00E+08,66,175,14,35,1,8,pass,86.32,4.71E-02,1.74E-02,1.371,1.191,8.76E-03,5.16E-06,3.83E-02,,,,
27,1.00E+08,69,183,15,37,1,8,pass,86.1,4.82E-02,1.81E-02,1.377,1.194,9.20E-03,3.97E-07,3.84E-02,,,,
27,1.00E+08,72,192,15,38,1,8,pass,85.92,4.90E-02,1.88E-02,1.382,1.196,9.52E-03,7.52E-07,3.86E-02,,,,
27,1.00E+08,75,200,16,40,1,8,pass,85.67,5.00E-02,1.96E-02,1.388,1.198,9.96E-03,2.03E-07,3.85E-02,,,,
27,1.00E+08,78,208,17,42,1,8,pass,85.43,5.13E-02,2.05E-02,1.394,1.2,1.04E-02,5.37E-06,3.86E-02,,,,
,,,,,,,,,,,,,,,,,,,,
27,8.00E+07,16,42,3,8,0.5,8,fail,78.54,1.97E-01,1.09E-01,2.192,1.723,1.16E-03,4.05E-06,1.10E-01,,,,
27,8.00E+07,19,50,4,10,0.5,8,fail,80.35,1.71E-01,9.62E-02,2.238,1.8,1.46E-03,2.88E-06,1.15E-01,,,,
27,8.00E+07,22,58,5,12,0.5,8,fail,81.66,1.53E-01,8.68E-02,2.273,1.858,1.77E-03,8.80E-06,1.19E-01,,,,
27,8.00E+07,25,67,5,13,0.5,8,fail,82.7,1.38E-01,7.88E-02,2.304,1.907,2.04E-03,2.02E-05,1.22E-01,,,,
27,8.00E+07,28,75,6,15,0.5,8,fail,83.43,1.28E-01,7.18E-02,2.327,1.944,2.41E-03,2.46E-05,1.24E-01,,,,
